name,debut,start,end,salary,birth
D.J. Augustin,2008,2022,2022,300605,1987
D.J. Augustin,2008,2021,2021,622467,1987
D.J. Augustin,2008,2020,2022,7000000,1987
D.J. Augustin,2008,2016,2019,7250000,1987
D.J. Augustin,2008,2014,2015,3000000,1987
D.J. Augustin,2008,2013,2013,755459,1987
D.J. Augustin,2008,2013,2013,1267000,1987
D.J. Augustin,2008,2012,2012,3500000,1987
D.J. Carton,2021,2023,2023,6434,2000
D.J. Carton,2021,2023,2023,1119563,2000
D.J. Kennedy,2011,2016,2016,874636,1989
D.J. Steward,2021,2023,2023,1119563,1999
D.J. Steward,2021,2022,2022,1017781,1999
D.J. Stewart Jr.,2021,2022,2022,1637966,1999
Dahntay Jones,2003,2015,2015,1499187,1980
Dahntay Jones,2003,2015,2016,780239,1980
Dahntay Jones,2003,2016,2016,9127,1980
Dahntay Jones,2003,2016,2016,1551659,1980
Daishen Nix,2021,2023,2023,2019706,2002
Dalano Banton,2021,2023,2024,2108338,1999
Damian Jones,2016,2020,2020,11898,1995
Damian Jones,2016,2020,2021,1107488,1995
Damian Jones,2016,2020,2021,1857078,1995
Damian Jones,2016,2022,2023,2442525,1995
Damian Lillard,2012,2016,2020,27977689,1990
Damian Lillard,2012,2021,2024,44066288,1990
Damian Lillard,2012,2025,2026,56456400,1990
Damian Lillard,2012,2020,2020,18000000,1986
